"id","pertanyaan","jawaban","sumber"
"1","Apa itu Jumantik?","""Jumantik (Juru Pemantau Jentik) adalah warga yang membantu memantau dan memastikan tidak ada jentik nyamuk di rumah maupun lingkungan sekitar. Dengan adanya Jumantik, penyebaran penyakit DBD bisa dicegah lebih awal.""","""Kemenkes RI – Satu Rumah Satu Jumantik"""
"2","Mengapa setiap rumah sebaiknya punya Jumantik?","""Karena dengan satu orang yang rutin memantau jentik di rumah, kita bisa cepat tahu bila ada tempat berkembang biaknya nyamuk penyebab DBD. Satu rumah satu Jumantik berarti satu langkah lebih aman dari DBD.""","""Kemenkes RI – Satu Rumah Satu Jumantik"""
"3","Bagaimana cara menjadi Jumantik di kelurahan?","""Cukup mendaftar lewat Ketua RT/RW atau Puskesmas. Nantinya akan ada pelatihan dasar tentang cara memantau jentik dan mencatat hasilnya.""","""Dinkes DKI Jakarta – Panduan Kader Jumantik"""
"4","Kapan waktu terbaik memeriksa jentik di rumah?","""Pemeriksaan sebaiknya dilakukan seminggu sekali, terutama di bak mandi, vas bunga, talang air, atau wadah yang bisa menampung air hujan.""","""Kemenkes RI – Program PSN 3M Plus"""
"5","Apa itu gerakan 3M Plus?","""3M Plus adalah gerakan Menguras, Menutup, dan Mendaur ulang tempat yang bisa menampung air + tambahan seperti menanam tanaman pengusir nyamuk atau memakai lotion anti-nyamuk.""","""Kemenkes RI – Edukasi PSN"""
"6","Mengapa jentik nyamuk kecil tapi berbahaya?","""Karena dari jentik inilah muncul nyamuk dewasa pembawa virus DBD. Semakin banyak jentik, semakin tinggi risiko penularan.""","""Germas – Hidup Sehat Tanpa DBD"""
"7","Bagaimana cara anak-anak ikut membantu Jumantik?","""Anak-anak bisa diajak mencari genangan air setelah hujan, menutup wadah air, dan mengingatkan orang tua untuk menguras bak mandi. Seru kan sambil belajar hidup sehat!""","""Penelitian ‘Manajemen Pengendalian Penyakit’"""
"8","Bagaimana warga tahu jadwal pemeriksaan Jumantik?","""Biasanya kader Jumantik memberi tahu lewat grup WhatsApp RT/RW atau mengumumkan di papan informasi kelurahan.""","""Dinas Kesehatan Kota Bandung – Edukasi PSN"""
"9","Mengapa laporan warga penting bagi kelurahan?","""Laporan dari warga membantu petugas mengetahui lokasi-lokasi yang rawan jentik. Dengan begitu, kelurahan bisa cepat melakukan penyuluhan atau fogging fokus bila perlu.""","""Dinkes Kota Depok – Satu Rumah Satu Jumantik"""
"10","Apa yang bisa dilakukan warga setelah rumahnya diperiksa Jumantik?","""Segera bersihkan atau tutup wadah air yang ditemukan jentik, lalu jaga kebersihan lingkungan. Jangan lupa, bantu pantau rumah tetangga juga!""","""Kemenkes RI – Satu Rumah Satu Jumantik"""
"11","Apa manfaat kegiatan Jumantik untuk warga kelurahan?","""Selain mencegah DBD, kegiatan Jumantik memperkuat kerja sama antarwarga. Lingkungan jadi lebih bersih, sehat, dan saling peduli.""","""Germas – Partisipasi Warga dalam Pencegahan DBD"""
"12","Apa yang dilakukan kelurahan kalau ada peningkatan kasus DBD?","""Biasanya kelurahan akan berkoordinasi dengan Puskesmas untuk melakukan penyuluhan, pemeriksaan jentik massal, dan fogging fokus di daerah terdampak.""","""Kemenkes RI – Protokol Penanggulangan DBD"""
"13","Apa aja sih tempat yang sering ada jentik nyamuk di rumah?","""Biasanya di tempat air bersih yang jarang dikuras, seperti bak mandi, vas bunga, talang air, dan tatakan dispenser. Bahkan tutup botol pun bisa jadi sarang!""","""Kemenkes RI – Panduan PSN 3M Plus"""
"14","Gimana cara cek jentik nyamuk sendiri di rumah?","""Ambil senter, lihat dasar wadah air yang bening. Kalau ada titik-titik kecil yang bergerak cepat, itu tandanya ada jentik. Langsung buang airnya dan gosok wadahnya!""","""Dinas Kesehatan DKI Jakarta – Buku Kader Jumantik"""
